               1.582                0.000
               1.588 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.594 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.601 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.607 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.613 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.619 2494341600000000293939481644694461159993074984983117029017367505399271843322092597383081353641227147468131211832767879787076345962011650551684567545197164079071785048071403727229056805588952044539752669385739325687517025625914763186526367317755262132033812198027850742643098265581795706352373191409664.000
               1.626               95.320
               1.632              108.062
               1.638              119.214
               1.645              133.608
               1.651              143.672
               1.657              155.865
               1.663              164.284
               1.670              180.607
               1.676              185.390
               1.682              194.588
               1.689              205.037
               1.695              214.613
               1.701              222.862
               1.708              231.420
               1.714              241.442
               1.720              249.553
               1.726              258.757
               1.733              263.591
               1.739              270.669
               1.745              280.042
               1.752              285.996
               1.758              293.974
               1.764              298.338
               1.770              304.833
               1.777              309.147
               1.783              315.892
               1.789              319.253
               1.796              323.764
               1.802              328.969
               1.808              332.290
               1.814              335.396
               1.821              339.095
               1.827              342.022
               1.833              344.805
               1.840              347.701
               1.846              350.473
               1.852              353.307
               1.858              352.923
               1.865              353.496
               1.871              354.424
               1.877              353.456
               1.884              353.284
               1.890              353.430
               1.896              351.864
               1.903              350.140
               1.909              348.317
               1.915              347.257
               1.921              344.211
               1.928              342.565
               1.934              340.726
               1.940              337.492
               1.947              335.207
               1.953              331.794
               1.959              330.477
               1.965              329.975
               1.972              331.664
               1.978              330.998
               1.984              331.125
               1.991              330.314
               1.997              329.869
               2.003              328.183
               2.009              327.707
               2.016              325.269
               2.022              323.547
               2.028              321.624
               2.035              318.825
               2.041              317.779
               2.047              318.077
               2.054              319.226
               2.060              320.055
               2.066              321.756
               2.072              323.093
               2.079              323.684
               2.085              324.971
               2.091              323.949
               2.098              323.622
               2.104              322.763
               2.110              321.002
               2.116              319.860
               2.123              317.294
               2.129              316.101
               2.135              312.630
               2.142              310.334
               2.148              306.463
               2.154              303.493
               2.160              300.616
               2.167              295.673
               2.173              292.411
               2.179              287.073
               2.186              282.404
               2.192              279.481
               2.198              274.421
               2.204              270.531
